Index	Sample ID	Sample Group	Sentrix Barcode	Sample Section	Detected Genes (0.01)	Detected Genes (0.05)	Signal Average	Signal P05	Signal P25	Signal P50	Signal P75	Signal P95	BIOTIN	CY3_HYB	HOUSEKEEPING	LABELING	LOW_STRINGENCY_HYB	NEGATIVE (background)	Noise
20	9253003053_B	13.5dpp	9253003053	B	11967	14224	564.9958	65.66615	73.23025	88.26275	298.9925	2421.791	15355.01	7900.874	11113.72	71.94312	6095.93	73.95454	8.359666
21	9253003053_C	13.5dpp	9253003053	C	12014	14279	545.3652	66.18242	73.87647	88.99295	288.5537	2350.07	13167.18	6932.864	10530.12	71.89927	5347.681	74.672	8.287865
22	9253003053_D	16.5dpp	9253003053	D	12085	14307	502.8222	62.21753	69.50723	84.11362	268.3913	2112.658	12387.46	6568.423	10331.16	67.37423	5078.761	70.30099	7.997591
23	9253003053_E	16.5dpp	9253003053	E	12290	14293	476.0787	60.79837	67.68047	81.25239	262.4804	2024.053	12456.94	6194.062	8914.643	65.47839	4786.82	68.33494	7.437679
24	9253003053_F	16.5dpp	9253003053	F	12439	14417	459.5009	60.17051	66.96939	80.45342	251.1179	1951.443	12886.66	6370.282	8291.276	63.79067	4952.18	67.31538	7.266682
25	9440690005_A	9.5cdpp	9440690005	A	11708	14336	482.0338	59.20274	66.06843	79.88498	232.8258	1821.948	14220.57	7450.255	12836.03	64.64188	5682.227	65.94987	8.232418
26	9440690005_B	9.5cdpp	9440690005	B	11737	14335	485.5701	60.10489	66.96441	81.03163	244.3899	1895.023	13118	7167.611	13082.01	64.95308	5462.689	66.87279	8.440475
27	9440690005_C	9.5cdpp	9440690005	C	12016	14620	615.4736	63.96995	72.15297	90.00424	317.9241	2588.883	12541.77	7307.877	15661.29	70.70464	5559.824	72.03238	9.432247
28	9440690005_D	11.5cdpp	9440690005	D	11452	13702	468.0597	61.63046	68.4545	81.51366	241.8	1865.612	13182.56	6745.377	12347.26	66.82484	5149.095	68.49181	8.51231
29	9440690005_E	11.5cdpp	9440690005	E	11457	14105	481.0719	61.10913	68.06024	82.36396	249.9764	1939.556	12839.9	6880.561	12057.75	66.3538	5251.11	68.17058	8.953853
30	9440690005_F	11.5cdpp	9440690005	F	12043	14641	519.4598	62.75838	70.21889	86.53821	292.3868	2209.884	14255.81	7590.312	11934.06	67.99127	5795.309	70.07108	8.533804
31	9440690016_A	13.5cdpp	9440690016	A	12102	14577	514.6982	58.63007	66.03969	81.95872	256.5951	2003.4	14741.25	8393.317	13897.34	61.7454	6455.263	65.79665	8.916344
32	9440690016_B	13.5cdpp	9440690016	B	11922	14486	449.2377	64.67998	72.95515	87.70052	235.911	1695.165	13628.14	7746.188	11552.65	69.78701	5952.319	72.30669	9.032978
33	9440690016_C	13.5cdpp	9440690016	C	11751	14085	472.6211	70.17296	78.79453	93.46255	255.0749	1834.112	14095.28	7592.78	12506.55	76.58997	5855.597	78.63682	9.434687
34	9440690016_D	16.5cdpp	9440690016	D	11632	14255	450.2796	57.02683	63.9297	78.10302	251.4708	1849.357	13192.37	7282.846	11525.79	60.98339	5614.92	63.86382	8.62681
35	9440690016_E	16.5cdpp	9440690016	E	12017	14507	456.8257	54.67146	61.60188	77.1424	240.0196	1828.129	13941.93	7905.397	11854.99	56.4724	6101.379	61.30665	8.879379
36	9440690016_F	16.5cdpp	9440690016	F	11749	14573	471.7123	53.74375	60.11269	72.23203	234.7244	1889.233	14326.73	7410.008	14112.9	56.9287	5717.666	59.58953	7.41783
37	3999483044_A	14.5cdpp	3999483044	A	10998	13356	368.9745	61.96458	69.83012	81.42458	187.2849	1357.701	8837.152	4745.932	9736.655	66.39537	3719.533	70.00724	8.595675
38	3999483044_B	14.5cdpp	3999483044	B	11327	13552	436.8353	66.95084	76.05074	90.92715	225.8661	1666.969	9146.123	4926.704	11960.74	71.15796	3869.924	76.12996	10.04057
39	3999483044_C	14.5cdpp	3999483044	C	10922	13453	385.9487	62.82841	71.14528	83.55493	190.5773	1395.079	8825.597	4559.049	10440.26	68.97125	3584.029	71.34274	8.917031
